book a spot for 3 in mt	O O O O B-party_size_number O B-state
book a table for josie  carissa and lindsay at a brasserie which serves trentino	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-cuisine
get me a table for 2 people 1 second from now in tunisia	O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-country
i want to book a restaurant with creamed eggs on toast on kansas day within walking distance of british indian ocean territory	O O O O O B-restaurant_type O B-served_dish I-served_dish I-served_dish I-served_dish O B-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation O B-country I-country I-country I-country
i need a reservation for eight for a brasserie that serves spanish rice	O O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish
i would like to book the best southeastern brazilian food court	O O O O O O B-sort B-cuisine I-cuisine B-restaurant_type I-restaurant_type
book a reservation for three at a top-rated sicilian restaurant in portugal	O O O O B-party_size_number O O B-sort B-cuisine B-restaurant_type O B-country
book a spot at leopold cafe in bhutan	O O O O B-restaurant_name I-restaurant_name O B-country
book a pub in clermont for 8 people	O O B-restaurant_type O B-city O B-party_size_number O
book a table at a restaurant in portugal with parking for me and bonnie in 19 minutes	O O O O O B-restaurant_type O B-country O B-facility O B-party_size_description I-party_size_description I-party_size_description B-timeRange I-timeRange I-timeRange
book bridge round house for one at meal time in democratic republic of the congo close	O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O B-timeRange O O B-country I-country I-country I-country I-country B-spatial_relation
book me a bar where i can get a bear claw in as	O O O B-restaurant_type O O O O O B-served_dish I-served_dish O B-state
book a table for 6 in the cheese course  blocher on february the 10th	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name B-city O B-timeRange I-timeRange I-timeRange
book georgetown cupcake in keller for tea time	O B-restaurant_name I-restaurant_name O B-city O B-timeRange O
i need to book a restaurant in sunnybrook for 7	O O O O O B-restaurant_type O B-city O B-party_size_number
book a table at top pot doughnuts in greensburg  american samoa	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state I-state
get me a reservation for 1 somewhere in spade at seventeen o clock	O O O O O B-party_size_number O O B-city O B-timeRange I-timeRange I-timeRange
book a food truck that serves tarte for tanisha  lorena and juliana	O O B-restaurant_type I-restaurant_type O O B-served_dish O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need a table booking for a highly rated sardinian pub	O O O O O O O B-sort I-sort B-cuisine B-restaurant_type
book a table at a bar in argentina	O O O O O B-restaurant_type O B-country
book a highly rated restaurant	O O B-sort I-sort B-restaurant_type
book a spot at bobcat bite in needmore for ten am	O O O O B-restaurant_name I-restaurant_name O B-city O B-timeRange I-timeRange
i need seats for six at a vegan bar in london borough of enfield or the same distant in one second	O O O O B-party_size_number O O B-served_dish B-restaurant_type O B-poi I-poi I-poi I-poi O O B-spatial_relation I-spatial_relation B-timeRange I-timeRange I-timeRange
make me a reservation somewhere outdoor in port wentworth for a party of five at a coffeehouse in ten months  that is distant	O O O O O B-facility O B-city I-city O O O O B-party_size_number O O B-restaurant_type B-timeRange I-timeRange I-timeRange O O B-spatial_relation
i want to book a restaurant in keeling islands for a party of ten	O O O O O B-restaurant_type O B-country I-country O O O O B-party_size_number
i d like to eat english cuisine at a restaurant in ettrick	O O O O O B-cuisine O O O B-restaurant_type O B-city
make reservations for 7 people at a top-rated brazilian pub around rockaway park-beach 116th	O O O B-party_size_number O O O B-sort B-cuisine B-restaurant_type B-spatial_relation B-poi I-poi I-poi
i d like to eat at a pub in arkport	O O O O O O O B-restaurant_type O B-city
book the lake house for me and carmella	O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_description I-party_size_description I-party_size_description
book a table at an oyster bar that serves apple butter on jul  10th  2028	O O O O O B-restaurant_type I-restaurant_type O O B-served_dish I-served_dish O B-timeRange I-timeRange I-timeRange
book australian food in armour for 7 pm for four at a pub best rated in ut	O B-cuisine O O B-city O B-timeRange I-timeRange O B-party_size_number O O B-restaurant_type B-sort I-sort O B-state
me and edith want to eat in coventry lake	B-party_size_description I-party_size_description I-party_size_description O O O O B-city I-city
book near montana restaurant serving sri lankan food for 6 that is highly rated on tues	O B-spatial_relation B-state B-restaurant_type O B-cuisine I-cuisine O O B-party_size_number O O B-sort I-sort O B-timeRange
i want to eat at a bakery with deidre and rosa in jersey	O O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-country
book a restaurant for nine on 16 hours from now	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange
book a fast food restaurant	O O B-restaurant_type I-restaurant_type I-restaurant_type
book me a table at the highly rated cafeteria in federated states of micronesia	O O O O O O B-sort I-sort B-restaurant_type O B-state I-state I-state I-state
book a restaurant for august fourth not far from the marshall islands	O O B-restaurant_type O B-timeRange I-timeRange B-spatial_relation I-spatial_relation O O B-country I-country
can you get seating for a group of 6 at twenty o clock at a restaurant and spa faraway from palmyra	O O O O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange O O B-restaurant_type O B-facility B-spatial_relation O B-poi
book a table for 10 at the dunbrody country house hotel in serbia	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a restaurant for one in al	O O B-restaurant_type O B-party_size_number O B-state
book a spot for gay ramos  janice gonzales and i at a bar in timbo	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-city
on 10/14/2026 i have two people to eat at coney island hot dog stand	O B-timeRange O O B-party_size_number O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
i need a reservation for a brasserie that serves ankimo in pw	O O O O O O B-restaurant_type O O B-served_dish O B-state
book me a table for me and my nephew near my location at an indoor pub	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation B-poi I-poi O O B-facility B-restaurant_type
book a table for 3 at one of the restaurants in washington  d c  in riverview	O O O O B-party_size_number O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city
book a reservation for thomas hynes house on jan  the third in netherlands	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange O B-country
find me a table for me and my grandkid in union square cafe	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name
book a reservation for my great grandfather and i at a macaroni pub in ct	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-served_dish B-restaurant_type O B-state
book a spot for marci  marylou and amelia far from north korea	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation O B-country I-country
book a churrascaria restaurant that serves spring rolls for one person	O O B-restaurant_type I-restaurant_type O O B-served_dish I-served_dish O B-party_size_number O
make me a reservation at illinois central railroad freight depot in singapore with vickie rodriguez  lila reyes and ruby	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i d like a table for two at a brasserie in são tomé and príncipe	O O O O O O B-party_size_number O O B-restaurant_type O B-country I-country I-country I-country
book a southeastern brazilian cusinie pub	O O B-cuisine I-cuisine O B-restaurant_type
i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
book me a reservation at rustic inn	O O O O O B-restaurant_name I-restaurant_name
book a table for me  leanne and tami at a restaurant serving caucasian food	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-cuisine B-restaurant_type
book a table in hallwood for one for supper	O O O O B-city O B-party_size_number O B-timeRange
book nuts on clark in irvington for 8 people in one hour	O B-restaurant_name I-restaurant_name I-restaurant_name O B-city O B-party_size_number O B-timeRange I-timeRange I-timeRange
i want to make a reservation for one at a sushi restaurant in brucetown	O O O O O O O B-party_size_number O O B-served_dish B-restaurant_type O B-city
me and my grandmother want to eat umbrian food on january the 7th at a brasserie	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type
book the union oyster house in guanica puerto rico	O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state I-state
book a table at a restaurant in saudi arabia that serves presskopf	O O O O O B-restaurant_type O B-country I-country O O B-served_dish
i d like to get reservations at a top-rated restaurant in arkansas	O O O O O O O O B-sort B-restaurant_type O B-state
i want to get reservations at a place close by for 6 people to eat in sc	O O O O O O O O B-spatial_relation I-spatial_relation O B-party_size_number O O O O B-state
book a spot for two at sale creek at eight am	O O O O B-party_size_number O B-city I-city O B-timeRange I-timeRange
would like to book a restaurant the last day of sukkot for lee and ines	O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description
make a restaurant reservation for me and my son at twenty three o clock	O O B-restaurant_type O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange I-timeRange I-timeRange
book me a restaurant that serves hot chicken in dutch mills  north dakota for 10 people for 3 am	O O O B-restaurant_type O O B-served_dish I-served_dish O B-city I-city B-state I-state O B-party_size_number O O B-timeRange I-timeRange
need a table for rita  antoinette and i	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
find a table somewhere for me and my step mother in graniteville de	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-city B-state
book a spot at a tsipouro restaurant in connecticut	O O O O O B-cuisine B-restaurant_type O B-state
book something for me and my wife at a restaurant in four weeks	O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type B-timeRange I-timeRange I-timeRange
book a table for nine people next mar	O O O O B-party_size_number O B-timeRange I-timeRange
book a spot for elise and alma at a brasserie in ravensdale mh for this week	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-city B-state O B-timeRange I-timeRange
book a pub for helen and miriam in nine years from now	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange I-timeRange I-timeRange
please make reservations for a bar close-by in lake alfred	O O O O O B-restaurant_type B-spatial_relation O B-city I-city
book me a reservation for an outdoor restaurant	O O O O O O B-facility B-restaurant_type
book a table not far in wy at a gastropub with internet for me  jenny and antoinette in one week	O O O B-spatial_relation I-spatial_relation O B-state O O B-restaurant_type O B-facility O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-timeRange I-timeRange I-timeRange
i need a reservation for the french laundry in oh for six	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number
book a reservation for a bistro	O O O O O B-restaurant_type
book a spot for 9 in new mexico	O O O O B-party_size_number O B-state I-state
i need a table in east timor for a party of nine at 5 north st	O O O O O B-country I-country O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
reserve a table for 3 people at the cubby bear   in comoros	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country
i d like to book a table at a restaurant for a group of 4	O O O O O O O O O B-restaurant_type O O O O B-party_size_number
book a table for lois  effie price and i for next summer in italy	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange O B-country
book a restaurant in mp at 3 pm with pigs in blankets	O O B-restaurant_type O B-state O B-timeRange I-timeRange O B-served_dish I-served_dish I-served_dish
i want to eat at a escondida south carolina restaurant for 8 people	O O O O O O B-city B-state I-state B-restaurant_type O B-party_size_number O
i want to book a restaurant in wallsburg  missouri for michele  diann and pam	O O O O O B-restaurant_type O B-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book reservation at a restaurant in rocky fork for 2 people	O O O O B-restaurant_type O B-city I-city O B-party_size_number O
can you make a reservation for next year in modesto for joanna and ella	O O O O O O B-timeRange I-timeRange O B-city O B-party_size_description I-party_size_description I-party_size_description
book a restaurant for 9 people	O O B-restaurant_type O B-party_size_number O
make me a reservation in crugers at marlton circle for a party of eight	O O O O O B-city O B-restaurant_name I-restaurant_name O O O O B-party_size_number
book a spot at rimsky-korsakoffee house in mackville	O O O O B-restaurant_name I-restaurant_name O B-city
book a table for seven during our thailand trip that is within walking distance of our hotel	O O O O B-party_size_number O O B-country O O O B-spatial_relation I-spatial_relation I-spatial_relation O O O
book for my girlfriend and i for truffade at a gastropub in west virginia	O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-served_dish O O B-restaurant_type O B-state I-state
looking for a tibetan restaurant and need reservations for 1	O O O B-cuisine B-restaurant_type O O O O B-party_size_number
book for 2 at a cafe for burgers in gasport	O O B-party_size_number O O B-restaurant_type O B-served_dish O B-city
book seating for one person at a food truck	O O O B-party_size_number O O O B-restaurant_type I-restaurant_type
book a table for eight people please	O O O O B-party_size_number O O
book a restaurant for one person at three pm	O O B-restaurant_type O B-party_size_number O O B-timeRange I-timeRange
book a restaurant faraway from albertson now	O O B-restaurant_type B-spatial_relation O B-city B-timeRange
book the chapter one in bosnia and herzegovina for patti  hester richardson and camille	O O B-restaurant_name I-restaurant_name O B-country I-country I-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a russian restaurant for 4 people	O O B-cuisine B-restaurant_type O B-party_size_number O
table for 4 in sparks	O O B-party_size_number O B-city
we want to eat at a brasserie with sicilian food in nebraska	O O O O O O B-restaurant_type O B-cuisine O O B-state
find a table at a restaurant that serves corn relish in venezuela	O O O O O B-restaurant_type O O B-served_dish I-served_dish O B-country
book me a taverna restaurant	O O O B-restaurant_type I-restaurant_type
book me a reservation nearby my neighborhood	O O O O B-spatial_relation O B-poi
book a table for 1 at ringside steakhouse in hurricane	O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-city
find a table for one at a popular churrascaria for three weeks from now	O O O O B-party_size_number O O B-sort B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange
book a table for 6 at a restaurant in pershing square  manhattan at two am	O O O O B-party_size_number O O B-restaurant_type O B-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange
book a steakhouse with a spa for seven people	O O B-restaurant_type O O B-facility O B-party_size_number O
book a table for ida  monica and etta at cold spring tavern in md	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-state
me and katharine would like to go eat at jan  22nd in ia	B-party_size_description I-party_size_description I-party_size_description O O O O O O B-timeRange I-timeRange O B-state
i want to eat at a highly rated food court	O O O O O O B-sort I-sort B-restaurant_type I-restaurant_type
i need a table for 3 in ak	O O O O O B-party_size_number O B-state
i need to find a restaurant for ten people at twelve am in liechtenstein	O O O O O B-restaurant_type O B-party_size_number O O B-timeRange I-timeRange O B-country
book the fry bread house for seven in olive	O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number O B-city
book a spot for 8 in hungary on february the 14th	O O O O B-party_size_number O B-country O B-timeRange I-timeRange I-timeRange
book a reservation for city tavern in long bridge	O O O O B-restaurant_name I-restaurant_name O B-city I-city
can you get a table at the triple door in district of columbia for me and deborah vasquez	O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state I-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
table for 1 please	O O B-party_size_number O
i need a booking for seven people at metropolitan museum of art	O O O O O B-party_size_number O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
book a restaurant in northern mariana islands with kristine  alisha and florine	O O B-restaurant_type O B-state I-state I-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book reservations at phase 1 in la jara	O O O B-restaurant_name I-restaurant_name O B-city I-city
get me a table for 5 at a restaurant which serves south tyrolean	O O O O O B-party_size_number O O B-restaurant_type O O B-cuisine I-cuisine
i need a restaurant booking for 2 people this month at a indian place in climax springs  new mexico	O O O B-restaurant_type O O B-party_size_number O B-timeRange I-timeRange O O B-cuisine O O B-city I-city B-state I-state
book a reservation for 1 at pm park  clear lake  iowa in mongolia in 1 hour	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country B-timeRange I-timeRange I-timeRange
book a spot for krista  yolanda and i in new mexico	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state I-state
book a spot that is faraway from the municipal borough of farnworth in 16 minutes	O O O O O B-spatial_relation O O B-poi I-poi I-poi I-poi B-timeRange I-timeRange I-timeRange
book a restaurant with internet in ny for four people	O O B-restaurant_type O B-facility O B-state O B-party_size_number O
book a spot for six friends	O O O O B-party_size_number O
find me a table for a cafe during my guinea trip for one	O O O O O O B-restaurant_name O O B-country O O B-party_size_number
need a table within the same area as beach 105th st for a party of 6	O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi O O O O B-party_size_number
reserve a table at bear hotel around finsbury park	O O O O B-restaurant_name I-restaurant_name B-spatial_relation B-poi I-poi
i need seats for six at a pub on january 15th  2030	O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
book a table for mindy and angelita at a restaurant which serves café liégeois	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-served_dish I-served_dish
book a table for three at 0 am at a bar with wifi in schuyler lake	O O O O B-party_size_number O B-timeRange I-timeRange O O B-restaurant_type O B-facility O B-city I-city
lets go to the rainforest cafe that is in the same area as 135th st	O O O O B-restaurant_name I-restaurant_name O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
book a table for 1 somewhere in andorra	O O O O B-party_size_number O O B-country
book a spot at a steakhouse with internet	O O O O O B-restaurant_type O B-facility
book a table at a pool bar	O O O O O B-facility B-restaurant_type
i need a reservation for 02:53 at hotel arctic in state road	O O O O O B-timeRange O B-restaurant_name I-restaurant_name O B-city I-city
book a reservation for a party of six in the same area  as metropolitan borough of bethnal green	O O O O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi I-poi I-poi
book a reservation for 6 in belle plaine  ne	O O O O B-party_size_number O B-city I-city B-state
book me a table for nine at a bar with parking in qatar	O O O O O B-party_size_number O O B-restaurant_type O B-facility O B-country
i need a table for 4 at a restaurant around 0 am	O O O O O B-party_size_number O O B-restaurant_type O B-timeRange I-timeRange
book a restaurant in west hattiesburg for 0 o clock	O O B-restaurant_type O B-city I-city O B-timeRange I-timeRange I-timeRange
book a popular bar in chowchilla	O O B-sort B-restaurant_type O B-city
i need a table at a czech pub at seven	O O O O O O B-cuisine B-restaurant_type O B-party_size_number
i need a reservation for the berghoff in jamaica in 18 seconds	O O O O O B-restaurant_name I-restaurant_name O B-country B-timeRange I-timeRange I-timeRange
book a reservation for seven people at a steakhouse in kenya	O O O O B-party_size_number O O O B-restaurant_type O B-country
book a table for five at the training table	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
book a table near bienville for pioneer day	O O O B-spatial_relation B-city O B-timeRange I-timeRange
i need a reservation for a pizzeria nearby vigus	O O O O O O B-restaurant_type B-spatial_relation B-city
i would like to book an american samoa restaurant for 8	O O O O O O B-state I-state B-restaurant_type O B-party_size_number
book a table at the irma hotel in mount repose	O O O O O B-restaurant_name I-restaurant_name O B-city I-city
find a reservation for a restaurant in hong kong for seven people	O O O O O B-restaurant_type O B-country I-country O B-party_size_number O
book a restaurant with parking for three people	O O B-restaurant_type O B-facility O B-party_size_number O
book a table for kristina and teresa in 1 second	O O O O B-party_size_description I-party_size_description I-party_size_description B-timeRange I-timeRange I-timeRange
i d like to eat souvlaki fast food with a party of two	O O O O O B-served_dish B-restaurant_type I-restaurant_type O O O O B-party_size_number
book a cafe in romania	O O B-restaurant_type O B-country
book a restaurant for me  angela and mercedes in cimarron city  colorado	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-city I-city B-state
i want to book meriton grand hotel tallinn in new jersey for four people	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state O B-party_size_number O
book me a rustic inn restaurant for 8 members at nappanee	O O O B-restaurant_name I-restaurant_name B-restaurant_type O B-party_size_number O O B-city
book a spot for 8 at the kitchin on october the 13th  2039	O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant close to grant av	O O B-restaurant_type B-spatial_relation O B-poi I-poi
book a table for 9 people for four pm in johnson	O O O O B-party_size_number O O B-timeRange I-timeRange O B-city
gwen carter and i want a reservation in the dominican republic	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-country I-country
book a table in cottondale not far for in two hundred sixty nine days	O O O O B-city B-spatial_relation I-spatial_relation O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
can you reserve a table within the same area as the american samoa for me and my mom	O O O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O O B-state I-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i want to bring antoinette  christine and caitlin to get bread at a restaurant in faraway connecticut	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-served_dish O O B-restaurant_type O B-spatial_relation B-state
i need to book a pub in cammack village wyoming for a party of seven	O O O O O B-restaurant_type O B-city I-city B-state O O O O B-party_size_number
book a spot for one at a bar in seabrook	O O O O B-party_size_number O O B-restaurant_type O B-city
i want to take me and my momy to eat in flossmoor	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-city
i need a table for 7 people at a bar that specialises in being a protein bar	O O O O O B-party_size_number O O O B-restaurant_type O O O O O B-served_dish I-served_dish
book a neighboring coffeehouse with internet in shingleton	O O B-spatial_relation B-restaurant_type O B-facility O B-city
book a spot for six in greece	O O O O B-party_size_number O B-country
i need a table for 4 in florida	O O O O O B-party_size_number O B-state
i need a table for nine at a restaurant in pelican bay serving chips on december 6  2031	O O O O O B-party_size_number O O B-restaurant_type O B-city I-city O B-served_dish O B-timeRange I-timeRange I-timeRange
i d like a table for 7 at ten pm at a cafeteria in al that serves malaysian food	O O O O O O B-party_size_number O B-timeRange I-timeRange O O B-restaurant_type O B-state O O B-cuisine O
book a table at jacob wirth restaurant for 8	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number
book a restaurant in medford lakes on sep  8  2033 for essie  tonya and i	O O B-restaurant_type O B-city I-city O B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need to book a pool side bar  for 5 people 17 weeks from now  distant from here at mountain lakes	O O O O O B-facility O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange B-spatial_relation O O O B-city I-city
reserve a table for 8 in neighboring hitchland	O O O O B-party_size_number O B-spatial_relation B-city
book a restaurant in three points	O O B-restaurant_type O B-city I-city
find a pub for me in fm	O O B-restaurant_type O O O B-state
find a table at a restaurant in bynum ca at 09:59 pm	O O O O O B-restaurant_type O B-city B-state O B-timeRange I-timeRange
book a spot at a taverna with internet in mississippi	O O O O O B-restaurant_type O B-facility O B-state
book sot for one at restaurant with wifi	O O O B-party_size_number O B-restaurant_type O B-facility
book a restaurant in botswana for seven people	O O B-restaurant_type O B-country O B-party_size_number O
book a spot for five in the same area as 72nd st	O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
i want to eat breakfast at the green restaurant certification	O O O O B-timeRange O O B-restaurant_name I-restaurant_name I-restaurant_name
i need a reservation in steele city	O O O O O B-city I-city
i want to find a restaurant that has a table for two at 5 am	O O O O O B-restaurant_type O O O O O B-party_size_number O B-timeRange I-timeRange
book a spot for me  reyna and maxine at a taverna on monday	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-timeRange
me and my mummy want to go to an indian bar next winter within the same area of cortelyou rd	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-cuisine B-restaurant_type B-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
i want to book a doughnut bar in american samoa	O O O O O B-served_dish B-restaurant_type O B-state I-state
book a english pub for me  belinda and dena close-by syria next dec	O O B-cuisine B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation B-country B-timeRange I-timeRange
book a spot for seven at a brasserie with ginestrata	O O O O B-party_size_number O O B-restaurant_type O B-served_dish
i d like to eat at the oyster bar for a party of one that has internet	O O O O O O O B-restaurant_type I-restaurant_type O O O O B-party_size_number O O B-facility
book a table for 10 people on bunker hill day at a food court which serves spätzle in monaco	O O O O B-party_size_number O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type I-restaurant_type O O B-served_dish O B-country
find a reservation at boone tavern for 4 people in 10:24	O O O O B-restaurant_name I-restaurant_name O B-party_size_number O O B-timeRange
book me best joint restaurant for 2 members at american samoa today	O O B-sort B-restaurant_type I-restaurant_type O B-party_size_number O O B-country I-country B-timeRange
i want a table for 9 in loyola at gus stevens seafood restaurant & buccaneer lounge	O O O O O B-party_size_number O B-city O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
please book me a table for 1 person at a brasserie	O O O O O O B-party_size_number O O O B-restaurant_type
book laurelhurst theater for 8 people	O B-restaurant_name I-restaurant_name O B-party_size_number O
i want to book a restaurant for ten this summer	O O O O O B-restaurant_type O B-party_size_number B-timeRange I-timeRange
book a restaurant for november 19	O O B-restaurant_type O B-timeRange I-timeRange
i need a restaurant in indonesia for 7	O O O B-restaurant_type O B-country O B-party_size_number
i have a party of four in japan and need a reservation at rimsky-korsakoffee house on aug  the 3rd	O O O O O B-party_size_number O B-country O O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
i would like a table for jacqueline wilson and deanna at david carpenter house in uncas fm	O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state
i want to book a pizza restaurant close to astor place for nine at 3 am	O O O O O B-served_dish B-restaurant_type B-spatial_relation O B-poi I-poi O B-party_size_number O B-timeRange I-timeRange
find a table for two in a place not far in culdesac	O O O O B-party_size_number O O O B-spatial_relation I-spatial_relation O B-city
book a spot for one	O O O O B-party_size_number
book the oriel in allison for a party of four	O B-restaurant_name I-restaurant_name O B-city O O O O B-party_size_number
i d like to get 4 seats at a restaurant	O O O O O B-party_size_number O O O B-restaurant_type
book indian food at a highly rated pub for 1 for 02:22 pm	O B-cuisine O O O B-sort I-sort B-restaurant_type O B-party_size_number O B-timeRange I-timeRange
can you get seating for 1 person at a cafeteria in pauls crossroads	O O O O O B-party_size_number O O O B-restaurant_type O B-city I-city
need a table in serbia and montenegro on apr  16 for a party of seven	O O O O B-country I-country I-country O B-timeRange I-timeRange O O O O B-party_size_number
i want to go to an outdoor cafe in pioneer day	O O O O O O B-facility B-restaurant_type O B-timeRange I-timeRange
book a table at laurie beechman theatre for a party of 4 in utah	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-party_size_number O B-state
i want to eat a a brasserie that serves muffuletta  where can i get a reservation	O O O O O O B-restaurant_type O O B-served_dish O O O O O O
i need a table for 4 in pelland	O O O O O B-party_size_number O B-city
need a booking for 6 in ok for the city of boonton	O O O O B-party_size_number O B-state O O O O B-city
book a table at a restaurant within the same area as the octagon  christchurch in allentown	O O O O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-restaurant_name I-restaurant_name I-restaurant_name O B-poi
book a restaurant for a meal for 4 people	O O B-restaurant_type O O B-timeRange O B-party_size_number O
